[Header]
; DC Raw Data File (default extension .raw)
; Copyright 2012, Quantum Design, Inc. All rights reserved.
TITLE,EuMnSb2
FILEOPENTIME,3933001230.47258,08/16/2024,8:20 pm
BYAPP,MPMS3 DC RAW DATA,1.0,1.1
INFO,MPMS3 Option Release 1.1.16 Build 433, Release 2.3.4.26,APPNAME
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuMnSb2,SAMPLE_MATERIAL
INFO,H//a,SAMPLE_COMMENT
INFO,2.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.26,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,3
STARTUPAXIS,Y1,4
STARTUPAXIS,Y2,5
STARTUPAXIS,Y2,6
STARTUPAXIS,Y2,7
STARTUPAXIS,Y3,8
STARTUPAXIS,Y3,9
[Data]
Comment,Time Stamp (sec),Raw Position (mm),Raw Voltage (V),Processed Voltage (V),Fixed C Fitted (V),Free C Fitted (V)
,3933001220.91009,6.77342844009399,0.200185090303421
,3933001220.91009,6.87842845916748,0.20067922770977
,3933001220.91009,7.02771425247192,0.20110347867012
,3933001220.91009,7.21671438217163,0.201759696006775
,3933001220.91009,7.44099998474121,0.202231988310814
,3933001220.91009,7.6955714225769,0.203295692801476
,3933001220.91009,7.97614240646362,0.204304456710815
,3933001220.91009,8.27828598022461,0.204944372177124
,3933001220.91009,8.59814262390137,0.205110535025597
,3933001220.91009,8.92971420288086,0.205740079283714
,3933001220.91009,9.2708568572998,0.205356702208519
,3933001220.91009,9.61999988555908,0.205840393900871
,3933001220.91009,9.97200012207031,0.205378443002701
,3933001220.91009,10.3258571624756,0.205151826143265
,3933001220.91009,10.6798572540283,0.204236134886742
,3933001220.91009,11.0342855453491,0.203794598579407
,3933001220.91009,11.3871421813965,0.203018337488174
,3933001220.91009,11.7357139587402,0.202446654438972
,3933001220.91009,12.0817136764526,0.201682895421982
,3933001220.91009,12.4225721359253,0.201350063085556
,3933001220.91009,12.7581434249878,0.201118916273117
,3933001220.91009,13.0880002975464,0.200642570853233
,3933001220.91009,13.4134292602539,0.20043371617794
,3933001220.91009,13.7330007553101,0.200717464089394
,3933001220.91009,14.0477151870728,0.201099619269371
,3933001220.91009,14.3572854995728,0.201279789209366
,3933001220.91009,14.663857460022,0.202448114752769
,3933001220.91009,14.9662857055664,0.203268095850945
,3933001220.91009,15.2661428451538,0.204751089215279
,3933001220.91009,15.5618562698364,0.205608025193214
,3933001220.91009,15.8545713424683,0.207190155982971
,3933001220.91009,16.1442852020264,0.208918780088425
,3933001220.91009,16.4309997558594,0.211322635412216
,3933001220.91009,16.7157135009766,0.21359421312809
,3933001220.91009,16.9987144470215,0.216957211494446
,3933001220.91009,17.281286239624,0.220084398984909
,3933001220.91009,17.5634288787842,0.224423706531525
,3933001220.91009,17.8454284667969,0.2283556163311
,3933001220.91009,18.1255722045898,0.233430206775665
,3933001220.91009,18.4067134857178,0.238110974431038
,3933001220.91009,18.6872844696045,0.24332894384861
,3933001220.91009,18.96728515625,0.24857722222805
,3933001220.91009,19.2465705871582,0.253703206777573
,3933001220.91009,19.5267143249512,0.259500980377197
,3933001220.91009,19.8058567047119,0.265734940767288
,3933001220.91009,20.0858573913574,0.272814214229584
,3933001220.91009,20.3675727844238,0.279918938875198
,3933001220.91009,20.6481418609619,0.288336992263794
,3933001220.91009,20.9300003051758,0.295921504497528
,3933001220.91009,21.2124290466309,0.304543942213058
,3933001220.91009,21.4934272766113,0.312033653259277
,3933001220.91009,21.7755718231201,0.320229768753052
,3933001220.91009,22.0582866668701,0.327678859233856
,3933001220.91009,22.3410015106201,0.335273087024689
,3933001220.91009,22.6228561401367,0.342007875442505
,3933001220.91009,22.9055709838867,0.349310576915741
,3933001220.91009,23.1895694732666,0.355876892805099
,3933001220.91009,23.4744281768799,0.36251825094223
,3933001220.91009,23.7591438293457,0.367504835128784
,3933001220.91009,24.0439987182617,0.372023522853851
,3933001220.91009,24.3294296264648,0.374644637107849
,3933001220.91009,24.6132869720459,0.376263052225113
,3933001220.91009,24.8984279632568,0.375993818044662
,3933001220.91009,25.1827144622803,0.374255180358887
,3933001220.91009,25.46728515625,0.370645403861999
,3933001220.91009,25.7522850036621,0.365020960569382
,3933001220.91009,26.0371437072754,0.35762557387352
,3933001220.91009,26.3222846984863,0.347253143787384
,3933001220.91009,26.6068572998047,0.334502756595612
,3933001220.91009,26.8918571472168,0.318904608488083
,3933001220.91009,27.1770000457764,0.30168205499649
,3933001220.91009,27.4617137908936,0.28142324090004
