[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933013998.41581,08/16/2024,11:53 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 433, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N0,MOTOR_HW_VERSION
INFO,MMC1029,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM268,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB317,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC075,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuMnSb2,SAMPLE_MATERIAL
INFO,H//a,SAMPLE_COMMENT
INFO,2.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.69,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3933015319.21921,11.9999303817749,1000.14868164062,0.0012303869193806,1.24960611563042E-7,1,2,14.0008964538574,4.98883112212206,34.340001642704,1.57965922059698,0.237691967009152,10,-9.33476162172504E-6,,,,,,,,,,,,,,,,,,,,,11.9999017715454,11.9999589920044,1000.14868164062,1000.14868164062,47.4307818039666,5.65042871440016,4.55502080917358,28,1,0,0,1,0.31402587890625,28.3479976654053,1,1,1,11.9999017715454,0,11.9999303817749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933015444.93246,12.9999923706055,1000.14868164062,0.00124311896424812,8.09950309900161E-8,1,2,14.0008964538574,4.98884261717772,34.340001642704,1.5960053222281,0.240186232515696,10,-9.4049568416299E-6,,,,,,,,,,,,,,,,,,,,,12.9998922348022,13.0000925064087,1000.14868164062,1000.14868164062,47.3385496386973,5.6500944085893,4.62704467773438,28,1,0,0,1,0.3125,28.8367557525635,1,1,1,13.0000925064087,0,12.9999923706055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933015570.9688,14.0004234313965,1000.14868164062,0.00125798856163526,1.24909780923294E-7,1,2,14.0008964538574,4.98882772756977,34.340001642704,1.61509424372517,0.243026563026678,10,-9.54213466106049E-6,,,,,,,,,,,,,,,,,,,,,14.0003433227539,14.0005035400391,1000.14868164062,1000.14868164062,47.2279492032262,5.65025715948902,4.70550584793091,28,1,0,0,1,0.314712524414063,29.3255138397217,1,1,1,14.0003433227539,0,14.0004234313965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933015696.91852,15.0000386238098,1000.14868164062,0.00127512007002368,1.0899851656836E-7,1,2,14.0008964538574,4.98881260127714,34.340001642704,1.63709115522013,0.246276839917376,10,-9.71751158164026E-6,,,,,,,,,,,,,,,,,,,,,15.0000295639038,15.0000476837158,1000.14868164062,1000.14868164062,47.4096778339473,5.65005869271445,4.76093530654907,28,1,0,0,1,0.313568115234375,29.3255138397217,1,1,1,15.0000295639038,0,15.0000386238098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933015810.97803,16.0003242492676,1000.14868164062,0.00129392713270762,1.00933994926407E-7,1,2,14.0008964538574,4.98880281229458,34.340001642704,1.66123825238832,0.249871946187421,10,-9.88938431328051E-6,,,,,,,,,,,,,,,,,,,,,16.0002994537354,16.0003490447998,1000.14868164062,1000.14868164062,47.4358623893416,5.65047980018926,4.80069923400879,28,1,0,0,1,0.305099487304687,27.8592376708984,1,1,1,16.0002994537354,0,16.0003242492676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933015932.46166,17.0000381469727,1000.14868164062,0.00131457047754903,1.50091613390939E-7,1,2,14.0008964538574,4.98880358728303,34.340001642704,1.68774705144734,0.253826885523075,10,-1.00717861309829E-5,,,,,,,,,,,,,,,,,,,,,17.000036239624,17.0000400543213,1000.14868164062,1000.14868164062,47.3295609107262,5.64979102569204,4.84218454360962,28,1,0,0,1,0.313568115234375,28.8367557525635,1,1,1,17.000036239624,0,17.0000381469727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933016054.73119,18.0001087188721,1000.14868164062,0.00133548756490608,1.5211564511038E-7,1,2,14.0008964538574,4.98873936243293,34.340001642704,1.71454386026169,0.258033510417284,10,-1.00975652853645E-5,,,,,,,,,,,,,,,,,,,,,18.0000514984131,18.0001659393311,1000.14868164062,1000.14868164062,47.4456327458319,5.65023408917583,4.87375020980835,28,1,0,0,1,0.306243896484375,28.3479976654053,1,1,1,18.0001659393311,0,18.0001087188721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933016176.46927,18.9999885559082,1000.14868164062,0.00135433864700502,8.5941872638924E-8,1,2,14.0008964538574,4.98872579255032,34.340001642704,1.73877065072051,0.26147412401443,10,-1.03965859214337E-5,,,,,,,,,,,,,,,,,,,,,18.9999027252197,19.0000743865967,1000.14868164062,1000.14868164062,47.2611684152935,5.65010504847571,4.91985845565796,28,1,0,0,1,0.312957763671875,27.8592376708984,1,1,1,19.0000743865967,0,18.9999885559082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933016297.21121,19.9998502731323,1000.14868164062,0.00136724709973868,1.46780885794715E-7,1,2,14.0008964538574,4.98879975351776,34.340001642704,1.75537732086691,0.26398614498768,10,-1.04844569601331E-5,,,,,,,,,,,,,,,,,,,,,19.9997882843018,19.9999122619629,1000.14868164062,1000.14868164062,47.34597510963,5.65023597780673,4.93928813934326,28,1,0,0,1,0.315170288085937,28.8367557525635,1,1,1,19.9997882843018,0,19.9998502731323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933016416.94137,21.0000705718994,1000.14868164062,0.00137395268277113,1.13970267813729E-7,1,2,14.0008964538574,4.98878016370022,34.340001642704,1.76396863400287,0.265330852491976,10,-1.04957467534482E-5,,,,,,,,,,,,,,,,,,,,,21.0000286102295,21.0001125335693,1000.14868164062,1000.14868164062,47.3385496386973,5.65007560052867,4.9855899810791,28,1,0,0,1,0.3070068359375,28.3479976654053,1,1,1,21.0000286102295,0,21.0000705718994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
