[Header]
; DC Raw Data File (default extension .raw)
; Copyright 2012, Quantum Design, Inc. All rights reserved.
TITLE,EuAuAs
FILEOPENTIME,3932964027.31326,08/16/2024,10:00 am
BYAPP,MPMS3 DC RAW DATA,1.0,1.1
INFO,MPMS3 Option Release 1.1.16 Build 433, Release 2.3.4.26,APPNAME
INFO,TCI274,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,EuAuAs,SAMPLE_MATERIAL
INFO,H//c,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,3
STARTUPAXIS,Y1,4
STARTUPAXIS,Y2,5
STARTUPAXIS,Y2,6
STARTUPAXIS,Y2,7
STARTUPAXIS,Y3,8
STARTUPAXIS,Y3,9
[Data]
Comment,Time Stamp (sec),Raw Position (mm),Raw Voltage (V),Processed Voltage (V),Fixed C Fitted (V),Free C Fitted (V)
,3932964017.18232,7.13185739517212,0.161507129669189
,3932964017.18232,7.38400030136108,0.176119819283485
,3932964017.18232,7.64742851257324,0.190729603171349
,3932964017.18232,7.92000007629395,0.205357953906059
,3932964017.18232,8.20028591156006,0.220009371638298
,3932964017.18232,8.48742866516113,0.234655544161797
,3932964017.18232,8.77957153320312,0.24928243458271
,3932964017.18232,9.07485675811768,0.26383051276207
,3932964017.18232,9.37385749816895,0.278403699398041
,3932964017.18232,9.67471408843994,0.292937189340591
,3932964017.18232,9.97785663604736,0.307422697544098
,3932964017.18232,10.2819995880127,0.321981489658356
,3932964017.18232,10.586428642273,0.336547613143921
,3932964017.18232,10.8902854919434,0.351055592298508
,3932964017.18232,11.1938571929932,0.365547150373459
,3932964017.18232,11.4965705871582,0.380035251379013
,3932964017.18232,11.7981433868408,0.394483029842377
,3932964017.18232,12.0991430282593,0.408862918615341
,3932964017.18232,12.3975715637207,0.423178374767303
,3932964017.18232,12.6957139968872,0.437520146369934
,3932964017.18232,12.9912853240967,0.451817035675049
,3932964017.18232,13.2868566513062,0.46614021062851
,3932964017.18232,13.5798568725586,0.480497241020203
,3932964017.18232,13.8722848892212,0.494917899370193
,3932964017.18232,14.1630001068115,0.509376108646393
,3932964017.18232,14.453143119812,0.523865401744843
,3932964017.18232,14.7412853240967,0.538419008255005
,3932964017.18232,15.0295715332031,0.552904546260834
,3932964017.18232,15.3171424865723,0.56740814447403
,3932964017.18232,15.6021423339844,0.581826567649841
,3932964017.18232,15.8871421813965,0.59628689289093
,3932964017.18232,16.1715717315674,0.610671162605286
,3932964017.18232,16.4562854766846,0.625086188316345
,3932964017.18232,16.7397136688232,0.63948792219162
,3932964017.18232,17.0227146148682,0.653881013393402
,3932964017.18232,17.3058567047119,0.668275892734528
,3932964017.18232,17.5881423950195,0.682641208171844
,3932964017.18232,17.8712844848633,0.697037816047668
,3932964017.18232,18.1544284820557,0.711414039134979
,3932964017.18232,18.4381427764893,0.725820243358612
,3932964017.18232,18.7210006713867,0.740286290645599
,3932964017.18232,19.0041427612305,0.754776895046234
,3932964017.18232,19.2864284515381,0.769234180450439
,3932964017.18232,19.5690002441406,0.78372186422348
,3932964017.18232,19.8521423339844,0.798087179660797
,3932964017.18232,20.1348571777344,0.812527120113373
,3932964017.18232,20.4184284210205,0.826948344707489
,3932964017.18232,20.7022857666016,0.841308891773224
,3932964017.18232,20.9862861633301,0.855673909187317
,3932964017.18232,21.2695693969727,0.86998063325882
,3932964017.18232,21.5527153015137,0.88433974981308
,3932964017.18232,21.8364276885986,0.898671507835388
,3932964017.18232,22.1198558807373,0.913039445877075
,3932964017.18232,22.4025707244873,0.927357494831085
,3932964017.18232,22.6857147216797,0.94173127412796
,3932964017.18232,22.9691429138184,0.956137001514435
,3932964017.18232,23.2531414031982,0.970445930957794
,3932964017.18232,23.5368576049805,0.984789192676544
,3932964017.18232,23.8211421966553,0.999104619026184
,3932964017.18232,24.1047134399414,1.01342141628265
,3932964017.18232,24.3892841339111,1.02766227722168
,3932964017.18232,24.6738567352295,1.0417857170105
,3932964017.18232,24.9584274291992,1.0559641122818
,3932964017.18232,25.2421436309814,1.07015669345856
,3932964017.18232,25.5262870788574,1.08413422107697
,3932964017.18232,25.8107147216797,1.0981901884079
,3932964017.18232,26.0944290161133,1.1120411157608
,3932964017.18232,26.378999710083,1.12581121921539
,3932964017.18232,26.6631412506104,1.13962864875793
,3932964017.18232,26.9474296569824,1.15323197841644
,3932964017.18232,27.2321434020996,1.16738092899323
,3932964017.18232,27.5164279937744,1.18144559860229
,3932964017.18232,27.8005714416504,1.19489967823029
